1, What is the value of f(2) for the function f(x) = x² + 3x + 2?, 10, 12, 14, 16, B
2, What is the derivative of sin(x)?, cos(x), -cos(x), sin(x), -sin(x), A
3, Calculate the distance between points (0,0) and (3,4)., 3, 4, 5, 7, C
4, Which unit is used for measuring Force?, Joule, Newton, Watt, Pascal, B
5, What is the chemical formula for water?, CO2, H2O, O2, H2, B
6, What is the SI unit of current?, Volt, Ampere, Ohm, Coulomb, B
7, What is the value of log10(100)?, 1, 2, 3, 0, B
8, What is the slope of a line passing through the origin and (2,4)?, y=2, x=2y, y=2x, x+y=2, C
9, What is the value of i² in complex numbers?, 1, -1, 0, i, B
10, Which of these is the Avogadro number?, 6.022e23, 3e8, 9.8, 1.6e-19, A
11, What is the value of 5 factorial (5!)?, 60, 100, 120, 20, C
12, What is the atomic number of Carbon?, 4, 6, 8, 12, B
13, Which law relates voltage- current- and resistance?, V=IR, P=VI, F=ma, E=mc2, A
14, What is the value of sin²(θ) + cos²(θ)?, 0, 1, 2, theta, B
15, What is the value of sqrt(16)?, 2, 8, 4, 6, C
